,ID1,ID2,start_time,end_time
0,WB__,_WGY,350.0,350.0
1,WB__,_WGY,712.0,712.0
2,WB__,_WGY,715.0,715.0
3,GBGR,YY__,11.0,11.0
4,GBGR,YY__,12.0,12.0
5,GBGR,YY__,115.0,115.0
6,GBGR,YY__,116.0,116.0
7,GBGR,YY__,124.0,124.0
8,GBGR,YY__,134.0,134.0
9,GBGR,YY__,172.0,172.0
10,YY__,_W_R,463.0,463.0
11,YY__,_W_R,845.0,845.0
12,YY__,_W_R,945.0,945.0
13,YY__,_W_R,950.0,950.0
14,YY__,_W_R,1153.0,1153.0
15,YY__,_W_R,1199.0,1199.0
16,YY__,_W_R,1203.0,1203.0
17,YY__,_W_R,1412.0,1412.0
18,YY__,_W_R,1413.0,1413.0
19,YY__,_W_R,1511.0,1511.0
20,YY__,_W_R,1633.0,1633.0
21,YY__,_GWY,287.0,287.0
22,YY__,_GWY,302.0,302.0
23,YY__,_GWY,317.0,317.0
24,YY__,_GWY,322.0,322.0
25,YY__,_GWY,324.0,324.0
26,YY__,_GWY,398.0,398.0
27,YY__,_GWY,412.0,412.0
28,YY__,_GWY,493.0,493.0
29,YY__,_GWY,541.0,541.0
30,YY__,_GWY,542.0,542.0
31,YY__,_GWY,599.0,599.0
32,YY__,_GWY,708.0,708.0
33,YY__,_GWY,710.0,710.0
34,YY__,_GWY,724.0,724.0
35,YY__,_GWY,725.0,725.0
36,YY__,_GWY,832.0,832.0
37,YY__,_GWY,833.0,833.0
38,YY__,_GWY,862.0,862.0
39,YY__,_GWY,943.0,943.0
40,YY__,_GWY,1048.0,1048.0
41,YY__,_GWY,1219.0,1219.0
42,YY__,_GWY,1230.0,1230.0
43,YY__,_GWY,1405.0,1405.0
44,YY__,_GWY,1513.0,1513.0
45,GY__,_GYW,1706.0,1706.0
46,GY__,_GYW,1709.0,1709.0
47,_GWY,_W_R,321.0,321.0
48,_GWY,_W_R,348.0,348.0
49,_GWY,_W_R,636.0,636.0
50,_GWY,_W_R,637.0,637.0
51,_GWY,_W_R,656.0,656.0
52,_GWY,_W_R,721.0,721.0
53,_GWY,_W_R,722.0,722.0
54,_GWY,_W_R,968.0,968.0
55,_GWY,_W_R,1458.0,1458.0
56,YYRB,____white,50.0,50.0
57,YYRB,____white,54.0,54.0
58,GY_W,_GWY,1584.0,1584.0
59,GRY_,_WWG,346.0,346.0
60,GRY_,_WWG,620.0,620.0
61,GRY_,_WWG,1535.0,1535.0
62,W___,_W_R,1591.0,1591.0
63,W___,_W_R,1592.0,1592.0
64,YGWY,____new,1311.0,1311.0
65,YGWY,____new,1711.0,1711.0
66,GGWW,_GWY,1227.0,1227.0
67,GGWW,_GWY,1233.0,1233.0
68,GGWW,_GWY,1541.0,1541.0
69,GGWW,_GWY,1611.0,1611.0
70,_W_W,_YGG,49.0,49.0
71,_W_W,_YGG,137.0,137.0
72,_W_W,_YGG,161.0,161.0
73,GG__,_R__right,169.0,169.0
74,YYY_,_WWG,55.0,55.0
75,YYY_,_WWG,769.0,769.0
76,GY__,YGWR,1355.0,1355.0
77,GY__,YGWR,1713.0,1713.0
78,GY__,YGWR,1714.0,1714.0
79,W_WR,YYRB,1605.0,1605.0
80,W_WR,YYRB,1606.0,1606.0
81,W_WR,YYRB,1614.0,1614.0
82,W_WR,YYRB,1631.0,1631.0
83,W_WR,YYRB,1664.0,1664.0
84,G___right,_GWY,1688.0,1688.0
85,G___right,_GWY,1698.0,1698.0
86,GGRG,G__Y,36.0,36.0
87,GGRG,G__Y,93.0,93.0
88,GGRG,G__Y,94.0,94.0
89,GGRG,G__Y,1254.0,1254.0
90,GY_W,WBYG,1495.0,1495.0
91,GY__,_GWY,1673.0,1673.0
92,GY__,_GWY,1684.0,1684.0
93,GY__,_GWY,1697.0,1697.0
94,GY__,_GWY,1698.0,1698.0
95,GGWW,GY__,618.0,618.0
96,YYGG,YYYY,1286.0,1286.0
97,YYGG,YYYY,1317.0,1317.0
98,GR_Y,YGWY,1580.0,1580.0
99,GR_Y,YGWY,1703.0,1703.0
100,GR_W,WRRY,121.0,121.0
101,YY__,_WYG,357.0,357.0
102,WRR_,__W_,1737.0,1737.0
103,GBG_,Q,1712.0,1712.0
104,YYRB,____hidden,1686.0,1686.0
105,YYRG,_W__,1015.0,1015.0
106,YYRG,_W__,1022.0,1022.0
107,_GWY,_R__right,1690.0,1690.0
108,YWWW,_RWG,278.0,278.0
109,GGRG,WRR_,1346.0,1346.0
110,GGRG,WRR_,1526.0,1526.0
111,GGRG,WRR_,1533.0,1533.0
112,GGRG,WRR_,1559.0,1559.0
113,GGRG,WRR_,1576.0,1576.0
114,GGRG,WRR_,1594.0,1594.0
115,YYBR,_W_W,381.0,381.0
116,YYBR,_W_W,382.0,382.0
117,YYBR,_W_W,393.0,393.0
118,YYBR,_W_W,486.0,486.0
119,YYBR,_W_W,505.0,505.0
120,YYBR,_W_W,914.0,914.0
121,YYBR,_W_W,1002.0,1002.0
122,YYBR,_W_W,1007.0,1007.0
123,YYBR,_W_W,1041.0,1041.0
124,YYBR,_W_W,1056.0,1056.0
125,YYBR,_W_W,1197.0,1197.0
126,YYBR,_W_W,1505.0,1505.0
127,GGRG,____new,1522.0,1522.0
128,GGRG,____new,1636.0,1636.0
129,GGRG,____new,1678.0,1678.0
130,GRGY,YYYY,828.0,828.0
131,GRGY,YYYY,911.0,911.0
132,GRGY,YYYY,1011.0,1011.0
133,GRGY,YYYY,1041.0,1041.0
134,GRGY,YYYY,1092.0,1092.0
135,GGRG,YYRG,1338.0,1338.0
136,GGRG,YYRG,1582.0,1582.0
137,YYYY,_W_W,735.0,735.0
138,GRY_,_W_W,784.0,784.0
139,G___right,YWWW,1742.0,1742.0
140,_WWY,_WYG,1476.0,1476.0
141,_WWY,_WYG,1519.0,1519.0
142,_WWY,_WYG,1530.0,1530.0
143,_WWY,_WYG,1552.0,1552.0
144,_WWY,_WYG,1622.0,1622.0
145,_WWY,_WYG,1655.0,1655.0
146,_WWY,_WYG,1664.0,1664.0
147,_WWY,_WYG,1677.0,1677.0
148,GG_W,Q,1430.0,1430.0
149,GG_W,Q,1511.0,1511.0
150,GG_W,Q,1570.0,1570.0
151,GG_W,Q,1578.0,1578.0
152,GYG_,YYG_,295.0,295.0
153,GYG_,YYG_,306.0,306.0
154,GYG_,YYG_,406.0,406.0
155,GYG_,YYG_,407.0,407.0
156,GYG_,YYG_,905.0,905.0
157,GYG_,YYG_,940.0,940.0
158,GYG_,YYG_,1219.0,1219.0
159,WB__,WRR_,344.0,344.0
160,WB__,WRR_,1259.0,1259.0
161,WB__,WRR_,1508.0,1508.0
162,WB__,WRR_,1634.0,1634.0
163,WB__,WRR_,1683.0,1683.0
164,WB__,WRR_,1696.0,1696.0
165,WB__,WRR_,1704.0,1704.0
166,W_WR,YY__,285.0,285.0
167,W_WR,YY__,591.0,591.0
168,W_WR,YY__,680.0,680.0
169,W_WR,YY__,810.0,810.0
170,W_WR,YY__,821.0,821.0
171,W_WR,YY__,1044.0,1044.0
172,W_WR,YY__,1129.0,1129.0
173,W_WR,YY__,1138.0,1138.0
174,W_WR,YY__,1145.0,1145.0
175,W_WR,YY__,1444.0,1444.0
176,W_WR,YY__,1475.0,1475.0
177,W_WR,YY__,1476.0,1476.0
178,W_WR,YY__,1649.0,1649.0
179,GGRG,YYGW,960.0,960.0
180,GGRG,YYGW,969.0,969.0
181,GGRG,YYGW,1058.0,1058.0
182,GGRG,YYGW,1324.0,1324.0
183,GGRG,YYGW,1724.0,1724.0
184,GR_W,_R__,403.0,403.0
185,GR_W,_R__,449.0,449.0
186,GR_W,_R__,450.0,450.0
187,YY__,Y___,1156.0,1156.0
188,YY__,Y___,1404.0,1404.0
189,YY__,Y___,1586.0,1586.0
190,GR_Y,_WGY,1006.0,1006.0
191,GR_Y,_WGY,1248.0,1248.0
192,_WGY,_W__,64.0,64.0
193,_WGY,_W__,103.0,103.0
194,_WGY,_W__,659.0,659.0
195,_WGY,_W__,683.0,683.0
196,_WGY,_W__,692.0,692.0
197,_WGY,_W__,693.0,693.0
198,_WGY,_W__,706.0,706.0
199,_WGY,_W__,727.0,727.0
200,_WGY,_W__,764.0,764.0
201,_WGY,_W__,1275.0,1275.0
202,_WGY,_W__,1572.0,1572.0
203,GRBR,_WWY,1086.0,1086.0
204,GRBR,_WWY,1089.0,1089.0
205,GY_W,_WGY,1041.0,1041.0
206,GR_W,Y___,85.0,85.0
207,GR_W,Y___,87.0,87.0
208,GR_W,Y___,139.0,139.0
209,GR_W,Y___,842.0,842.0
210,GR_W,Y___,848.0,848.0
211,GR_W,Y___,1344.0,1344.0
212,GR_W,Y___,1600.0,1600.0
213,GR_W,Y___,1621.0,1621.0
214,GR_W,Y___,1623.0,1623.0
215,G_RG,_W__,57.0,57.0
216,G_RG,_W__,64.0,64.0
217,G_RG,_W__,299.0,299.0
218,G_RG,_W__,300.0,300.0
219,G_RG,_W__,742.0,742.0
220,G_RG,_W__,1246.0,1246.0
221,G_RG,_W__,1255.0,1255.0
222,G_RG,_W__,1269.0,1269.0
223,G_RG,_W__,1475.0,1475.0
224,G_RG,_W__,1579.0,1579.0
225,G_RG,_W__,1591.0,1591.0
226,G_RG,_W__,1735.0,1735.0
227,G_RG,_W__,1736.0,1736.0
228,YYGG,____mid,632.0,632.0
229,YYGG,____mid,802.0,802.0
230,WR__,YYBR,1259.0,1259.0
231,WR__,YYBR,1635.0,1635.0
232,WR__,YYBR,1638.0,1638.0
233,WR__,YYBR,1651.0,1651.0
234,_RWG,_WGY,74.0,74.0
235,_RWG,_WGY,707.0,707.0
236,YYGW,____still,979.0,979.0
237,YYGW,____still,1689.0,1689.0
238,W_WR,YY_W,938.0,938.0
239,W_WR,YY_W,939.0,939.0
240,W_WR,YY_W,1464.0,1464.0
241,W_WR,YY_W,1529.0,1529.0
242,W_WR,YY_W,1565.0,1565.0
243,W_WR,YY_W,1567.0,1567.0
244,W_WR,YY_W,1689.0,1689.0
245,W_WR,YY_W,1698.0,1698.0
246,GY_W,YY_W,1165.0,1165.0
247,YY_W,_WRW,1684.0,1684.0
248,YY_W,_WRW,1702.0,1702.0
249,YY_W,_WRW,1742.0,1742.0
250,GGGG,WRRY,503.0,503.0
251,GGGG,WRRY,507.0,507.0
252,GGGG,WRRY,589.0,589.0
253,GGGG,WRRY,758.0,758.0
254,GGGG,WRRY,855.0,855.0
255,GGGG,WRRY,856.0,856.0
256,GGGG,WRRY,916.0,916.0
257,GGGG,WRRY,922.0,922.0
258,WBYG,W___,726.0,726.0
259,WBYG,W___,767.0,767.0
260,GR_Y,____still,809.0,809.0
261,GR_Y,____still,842.0,842.0
262,GR_Y,____still,980.0,980.0
263,GR_Y,____still,982.0,982.0
264,GR_Y,_WYG,1246.0,1246.0
265,GGW_right,GR_Y,705.0,705.0
266,GGW_right,GR_Y,706.0,706.0
267,GGW_right,GR_Y,716.0,716.0
268,GGW_right,GR_Y,799.0,799.0
269,GGW_right,GR_Y,1209.0,1209.0
270,GR_W,YGWY,1728.0,1728.0
271,GRGY,____still,888.0,888.0
272,GRGY,____still,1216.0,1216.0
273,W___,YWWW,693.0,693.0
274,W___,YWWW,695.0,695.0
275,Y___,_WRW,335.0,335.0
276,Y___,_WRW,488.0,488.0
277,YYYY,Y_B_,996.0,996.0
278,YYYY,Y_B_,997.0,997.0
279,W_WR,Y___,410.0,410.0
280,W_WR,Y___,440.0,440.0
281,Q,YYRB,1553.0,1553.0
282,Q,YYRB,1555.0,1555.0
283,W___,_WYG,842.0,842.0
284,W___,_WYG,1069.0,1069.0
285,_GYW,_W__curl,102.0,102.0
286,_GYW,_W__curl,190.0,190.0
287,_GYW,_W__curl,228.0,228.0
288,_GYW,_W__curl,1690.0,1690.0
289,_GYW,_W__curl,1701.0,1701.0
290,GGW_right,YYRG,744.0,744.0
291,GGW_right,YYRG,797.0,797.0
292,GGW_right,YYRG,1581.0,1581.0
293,GY__,_Y__,833.0,833.0
294,GY__,_Y__,834.0,834.0
295,GY__,_Y__,884.0,884.0
296,GRY_,YYGW,950.0,950.0
297,GGGG,GGRG,1518.0,1518.0
298,GR_Y,_Y__,1264.0,1264.0
299,GR_Y,_Y__,1266.0,1266.0
300,G___,WRR_,338.0,338.0
301,G___,WRR_,339.0,339.0
302,_WRW,____hidden,1164.0,1164.0
303,_WRW,____hidden,1338.0,1338.0
304,_WRW,____hidden,1504.0,1504.0
305,_WRW,____hidden,1650.0,1650.0
306,_WRW,____hidden,1738.0,1738.0
307,_WRW,____hidden,1739.0,1739.0
308,GY__,G___right,1695.0,1695.0
309,Q,____still,1720.0,1720.0
310,Q,____still,1732.0,1732.0
311,GGGG,_GWY,1560.0,1560.0
312,GGWW,YYBR,950.0,950.0
313,GGWW,YYBR,1642.0,1642.0
314,GGWW,YYBR,1646.0,1646.0
315,GGW_right,_WWY,885.0,885.0
316,GG_W,_Y__,1594.0,1594.0
317,G___,_GWY,250.0,250.0
318,G___,_GWY,256.0,256.0
319,G___,_GWY,258.0,258.0
320,G___,_GWY,266.0,266.0
321,G___,_GWY,269.0,269.0
322,G___,_GWY,272.0,272.0
323,_W_R,____hidden,945.0,945.0
324,_W_R,____hidden,1049.0,1049.0
325,_W_R,____hidden,1178.0,1178.0
326,_W_R,____hidden,1448.0,1448.0
327,_W_R,____hidden,1495.0,1495.0
328,_W_R,____hidden,1496.0,1496.0
329,_W_R,____hidden,1606.0,1606.0
330,_W_R,____hidden,1632.0,1632.0
331,GGWW,G___right,640.0,640.0
332,GGWW,G___right,641.0,641.0
333,GGWW,G___right,851.0,851.0
334,WRR_,_RWG,336.0,336.0
335,WRR_,_RWG,337.0,337.0
336,WRR_,_RWG,347.0,347.0
337,WRR_,_RWG,1258.0,1258.0
338,WRR_,_RWG,1662.0,1662.0
339,WRR_,_RWG,1663.0,1663.0
340,WRR_,_W__,1258.0,1258.0
341,WRR_,_W__,1265.0,1265.0
342,WRR_,_W__,1275.0,1275.0
343,WRR_,_W__,1541.0,1541.0
344,WRR_,_W__,1652.0,1652.0
345,WRR_,_W__,1664.0,1664.0
346,GGW_right,WRR_,1622.0,1622.0
347,GGW_right,WRR_,1628.0,1628.0
348,GBGR,____still,1123.0,1123.0
349,GBGR,____still,1572.0,1572.0
350,YGWY,_WGY,42.0,42.0
351,YGWY,_WGY,145.0,145.0
352,YGWY,_WGY,180.0,180.0
353,YGWY,_WGY,237.0,237.0
354,YGWY,_WGY,363.0,363.0
355,YGWY,_WGY,476.0,476.0
356,YGWY,_WGY,505.0,505.0
357,YGWY,_WGY,583.0,583.0
358,YGWY,_WGY,598.0,598.0
359,YGWY,_WGY,776.0,776.0
360,YGWY,_WGY,777.0,777.0
361,Y_B_,_W_W,1201.0,1201.0
362,Y_B_,_W_W,1295.0,1295.0
363,Y_B_,_W_W,1297.0,1297.0
364,Y_B_,_W_W,1327.0,1327.0
365,YWWW,Y___,427.0,427.0
366,GGW_right,__W_,791.0,791.0
367,GGW_right,__W_,828.0,828.0
368,GGW_right,__W_,903.0,903.0
369,GGWW,WR__,1638.0,1638.0
370,GGWW,WR__,1671.0,1671.0
371,GBG_,GR_Y,814.0,814.0
372,Q,_WWY,815.0,815.0
373,Q,_WWY,1666.0,1666.0
374,G___right,_Y__,65.0,65.0
375,WB__,_WYG,65.0,65.0
376,WB__,_WYG,305.0,305.0
377,WB__,_WYG,524.0,524.0
378,WB__,_WYG,769.0,769.0
379,WB__,_WYG,980.0,980.0
380,WB__,_WYG,1631.0,1631.0
381,WB__,_WYG,1650.0,1650.0
382,WB__,_WYG,1726.0,1726.0
383,W___,_RWG,948.0,948.0
384,W___,_RWG,1135.0,1135.0
385,GGW_,G__Y,636.0,636.0
386,GB__,GRBR,645.0,645.0
387,GG__,_GWY,1693.0,1693.0
388,YYGG,____still,1114.0,1114.0
389,YYGG,____still,1124.0,1124.0
390,GGGG,YYGW,359.0,359.0
391,GGGG,YYGW,649.0,649.0
392,GGGG,YYGW,651.0,651.0
393,GGGG,YYGW,772.0,772.0
394,GGGG,YYGW,839.0,839.0
395,YY_W,__W_,835.0,835.0
396,YY_W,__W_,873.0,873.0
397,GBG_,G___right,395.0,395.0
398,GBG_,G___right,780.0,780.0
399,GY__,YGWY,725.0,725.0
400,GY__,YGWY,877.0,877.0
401,GY__,YGWY,1308.0,1308.0
402,GY__,YGWY,1323.0,1323.0
403,WBYG,____mid,1448.0,1448.0
404,GGW_,____still,1042.0,1042.0
405,GBG_,GGRG,734.0,734.0
406,GBG_,GGRG,895.0,895.0
407,GBG_,GGRG,1085.0,1085.0
408,GBG_,GGRG,1232.0,1232.0
409,G___right,____new,20.0,20.0
410,G___right,____new,22.0,22.0
411,_RWG,_WRW,1540.0,1540.0
412,WRR_,_Y__,1278.0,1278.0
413,WRR_,_Y__,1296.0,1296.0
414,GGWW,WRRY,1191.0,1191.0
415,GGWW,WRRY,1588.0,1588.0
416,GRY_,YYY_,129.0,129.0
417,G__Y,____still,1227.0,1227.0
418,GRY_,GY__,1388.0,1388.0
419,GGWW,YYY_,421.0,421.0
420,GGWW,YYY_,422.0,422.0
421,GGWW,YYY_,517.0,517.0
422,GGWW,YYY_,578.0,578.0
423,GGWW,YYY_,615.0,615.0
424,GGWW,YYY_,650.0,650.0
425,GGWW,YYY_,868.0,868.0
426,GGWW,YYY_,877.0,877.0
427,YYG_,____hidden,113.0,113.0
428,YYG_,____hidden,250.0,250.0
429,YYG_,____hidden,354.0,354.0
430,YYG_,____hidden,382.0,382.0
431,YYG_,____hidden,426.0,426.0
432,GRBR,YYGW,209.0,209.0
433,GRBR,YYGW,588.0,588.0
434,GRBR,YYGW,589.0,589.0
435,GGW_,____mid,881.0,881.0
436,GGW_,____mid,930.0,930.0
437,GGW_,____mid,931.0,931.0
438,GGW_,____mid,937.0,937.0
439,GGW_,____mid,954.0,954.0
440,GGW_,____mid,1215.0,1215.0
441,GGW_,____mid,1302.0,1302.0
442,GGW_,____mid,1311.0,1311.0
443,GBGR,_GYW,1293.0,1293.0
444,GBGR,_GYW,1395.0,1395.0
445,GBGR,_GYW,1410.0,1410.0
446,GBGR,_GYW,1555.0,1555.0
447,GBGR,_GYW,1561.0,1561.0
448,GY_W,YYBR,1053.0,1053.0
449,GGRG,YGWY,1622.0,1622.0
450,WGGB,YYGG,1448.0,1448.0
451,WGGB,YYGG,1572.0,1572.0
452,WGGB,YYGG,1574.0,1574.0
453,GGW_right,W___,582.0,582.0
454,GGW_right,W___,590.0,590.0
455,_WGY,____new,46.0,46.0
456,_WGY,____new,204.0,204.0
457,_WGY,____new,231.0,231.0
458,_WGY,____new,407.0,407.0
459,_WGY,____new,408.0,408.0
460,_WGY,____new,412.0,412.0
461,_WGY,____new,1134.0,1134.0
462,G_RG,_W_R,935.0,935.0
463,G_RG,_W_R,937.0,937.0
464,GR_Y,G__Y,654.0,654.0
465,GR_Y,G__Y,690.0,690.0
466,GR_Y,G__Y,979.0,979.0
467,GR_Y,G__Y,1213.0,1213.0
468,YYRR,____still,1197.0,1197.0
469,YYRR,____still,1211.0,1211.0
470,YYYY,____mid,981.0,981.0
471,YYYY,____mid,989.0,989.0
472,YYYY,____mid,1177.0,1177.0
473,YYYY,____mid,1178.0,1178.0
474,_Y__,____new,834.0,834.0
475,YYBR,_WGY,797.0,797.0
476,GR_W,YY__,752.0,752.0
477,GR_W,YY__,1400.0,1400.0
478,Y___,____hidden,511.0,511.0
479,Y___,____hidden,933.0,933.0
480,Y___,____hidden,1040.0,1040.0
481,Y___,____hidden,1702.0,1702.0
482,W_WR,____hidden,1578.0,1578.0
483,YYBR,YYGW,1680.0,1680.0
484,YYBR,YYGW,1703.0,1703.0
485,YYBR,YYGW,1707.0,1707.0
486,YYBR,YYGW,1720.0,1720.0
487,YYBR,YYGW,1721.0,1721.0
488,Q,YYGW,1709.0,1709.0
489,GGWW,YY_W,1503.0,1503.0
490,GGWW,YY_W,1505.0,1505.0
491,GGWW,YY_W,1540.0,1540.0
492,YYBR,____still,1699.0,1699.0
493,GGGR,Q,1377.0,1377.0
494,GGGR,Q,1537.0,1537.0
495,GGGR,Q,1538.0,1538.0
496,GGGR,Q,1616.0,1616.0
497,YYRR,_WWY,905.0,905.0
498,YYRR,_WWY,958.0,958.0
499,GGGR,GGW_,1640.0,1640.0
500,GGGR,GGW_,1733.0,1733.0
501,GB__,GR_W,755.0,755.0
502,WRR_,YGWY,1569.0,1569.0
503,WRR_,YGWY,1571.0,1571.0
504,WRR_,YGWY,1727.0,1727.0
505,WRR_,YGWY,1728.0,1728.0
506,_WGY,_WWG,804.0,804.0
507,Q,_GWY,1681.0,1681.0
508,Q,_GWY,1693.0,1693.0
509,W_WR,_W__,143.0,143.0
510,W_WR,_W__,465.0,465.0
511,G_RG,_Y__,1540.0,1540.0
512,WB__,YWWW,306.0,306.0
513,WB__,YWWW,307.0,307.0
514,WB__,YWWW,325.0,325.0
515,WB__,YWWW,1370.0,1370.0
516,WRR_,_WWY,1297.0,1297.0
517,WRR_,_WWY,1464.0,1464.0
518,WRR_,_WWY,1496.0,1496.0
